name,rating,reviews,price,product_url,category,raw_text
Apple iPhone 16 8/256GB Ultramarine,5.0,138,559990,https://www.technodom.kz/p/smartfon-apple-iphone-16-256gb-ultramarine-284611,smartphones,0 - 0 - 24 -8% Смартфон Apple iPhone 16 8/256GB Ultramarine 5 (138) 559 990 ₸ 609 990 ₸ 46 666 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy S25 Ultra 12/256GB Titanium Gray,5.0,53,659890,https://www.technodom.kz/p/smartfon-samsung-galaxy-s25-ultra-12256gb-titanium-gray-288462,smartphones,0 - 0 - 24 -20% Смартфон Samsung Galaxy S25 Ultra 12/256GB Titanium Gray 5 (53) 659 890 ₸ 829 890 ₸ до + 32 994 бонусов 54 991 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
"HONOR X7d 6/128/6,7/108 Meteor Silver",5.0,13,99990,https://www.technodom.kz/p/smartfon-honor-x7d-612867108-meteor-silver-293703,smartphones,"0 - 0 - 24 -9% Смартфон HONOR X7d 6/128/6,7/108 Meteor Silver 5 (13) 99 990 ₸ 109 990 ₸ до + 4 999 бонусов 8 333 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра"
Vivo Y19s Pro 6/256GB Black,4.0,3,99990,https://www.technodom.kz/p/smartfon-vivo-y19s-pro-6256gb-black-291225,smartphones,0 - 0 - 24 -9% Смартфон Vivo Y19s Pro 6/256GB Black 4 (3) 99 990 ₸ 109 990 ₸ до + 4 999 бонусов 8 333 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A36 8/256GB Awesome White,4.9,75,189990,https://www.technodom.kz/p/smartfon-samsung-galaxy-a36-awesome-white-sm-a366ezagskz-289297,smartphones,0 - 0 - 24 -9% Смартфон Samsung Galaxy A36 8/256GB Awesome White 4.9 (75) 189 990 ₸ 209 890 ₸ до + 9 499 бонусов 15 833 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy A36 8/128GB Awesome Lavender,4.9,75,169990,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-a36-81286750-awesome-lavender-sm-a366elvdskz-289294,smartphones,0 - 0 - 24 -10% Смартфон Samsung Galaxy A36 8/128GB Awesome Lavender 4.9 (75) 169 990 ₸ 189 890 ₸ до + 8 499 бонусов 14 166 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
"HONOR X5C Plus 4/128/6,7/50 Ocean Cyan",5.0,6,59990,https://www.technodom.kz/p/smartfon-honor-x5c-plus-41286750-ocean-cyan-293706,smartphones,"0 - 0 - 24 -14% Смартфон HONOR X5C Plus 4/128/6,7/50 Ocean Cyan 5 (6) 59 990 ₸ 69 990 ₸ до + 2 999 бонусов 5 000 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра"
GSM HONOR X6c 6/256/6.7/50 Midnight Black,5.0,40,84990,https://www.technodom.kz/p/smartfon-gsm-honor-x6c-6-256-6-7-50-midnight-black-291801,smartphones,0 - 0 - 24 -6% Смартфон GSM HONOR X6c 6/256/6.7/50 Midnight Black 5 (40) 84 990 ₸ 89 990 ₸ до + 4 249 бонусов 7 083 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy S25 12/256GB Mint,5.0,50,404890,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-s25-122566250-mint-sm-s931blgcskz-288443,smartphones,0 - 0 - 24 -30% Смартфон Samsung Galaxy S25 12/256GB Mint 5 (50) 404 890 ₸ 574 890 ₸ до + 20 244 бонусов 33 741 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
Samsung Galaxy S25 12/256GB Icy Blue,5.0,50,404890,https://www.technodom.kz/p/smartfon-gsm-samsung-galaxy-s25-122566250-icy-blue-sm-s931blbcskz-288441,smartphones,0 - 0 - 24 -30% Смартфон Samsung Galaxy S25 12/256GB Icy Blue 5 (50) 404 890 ₸ 574 890 ₸ до + 20 244 бонусов 33 741 ₸ x 12 мес В корзину Самовывоз сегодня Доставка завтра
